,time_0,activation_probability
0,882.1224774577947,4.477703711729618e-28
1,916.4439241476639,7.343854754283009e-13
2,1238.5139954616175,7.936084233579967e-08
3,72.30908591815573,0.06742942834945025
4,86.21683371501162,2.08621143468041e-05
5,86.8633807104542,1.2512156876390418e-05
6,79.27338538535598,5.458445667412445e-06
7,71.1341968124507,0.02759429826929321
8,73.91438883316643,0.08398075579195778
9,72.37812096217034,0.0015185688376847186
10,84.0529189818435,0.0751293538775668
11,88.2652139313613,0.03897480084302377
12,65.58737989322847,9.886161962406938e-06
13,74.4383563321903,0.00036838839207566684
14,67.22489930981517,0.04151046032938368
15,67.29461021945131,7.48347382726593e-06
16,127.90146550097796,0.065648188821182
17,107.27986189330583,0.005961636846528996
18,115.86929667555599,0.013158257899509893
19,195.9635955527401,0.025233924685626113
20,178.80298049614797,0.03523821436414703
21,438.81478344272585,0.001904741202262756
22,527.4434081573988,6.191808374263557e-05
23,595.5701944730649,4.988913859921825e-12
24,193.9668933774737,6.278210215771302e-06
25,207.40899446460452,2.724461430282074e-07
26,294.7312050581138,0.012123526070922949
27,261.55436527049335,5.580859064399442e-10
28,447.8032742726173,1.0731776804142117e-06
29,764.237348949915,6.76152346792834e-07
30,398.0705578952508,0.0001904677382836971
31,449.9858176979312,2.011836159272458e-06
32,1441.2518333579196,1.2965935873812586e-10
33,1504.5147084356508,7.319533997328443e-09
34,1512.2998617486862,6.871766996239843e-12
35,2031.6034391497255,6.168375239289164e-12
36,1665.0092086764776,5.111675856286386e-14
37,1850.110786898451,2.6210498811468433e-12
38,1363.5226874133882,1.9440065385165795e-08
39,1463.6918564177008,1.3628256391664842e-08
40,2588.214837339324,9.33561263790573e-45
41,3018.063364526766,1.0292168306345174e-19
42,1598.8130544291328,1.2658847861469518e-09
43,1581.3387785672844,9.562904967575862e-09
44,2501.7567392461506,4.642407792368016e-14
45,1998.6645457295017,6.105548038226967e-12
46,819.0299159653135,6.776868585889231e-07
47,945.2011007329323,6.914474238067778e-07
48,995.3371945304705,1.0775389196302166e-12
49,1080.6459612679287,7.453664681594328e-10
50,1242.870474738185,2.3528034659480114e-10
51,1084.4966624735293,1.1153494912579622e-08
52,1287.110860348089,5.578992676973895e-10
53,1542.3828152572319,1.377243744038709e-14
54,1348.8785427471498,4.839821949273125e-07
55,1485.8450114242914,2.9749511568168927e-10
56,1091.5387177434554,3.4839819788986995e-08
57,834.9212896843428,3.214210630570609e-07
58,1328.4253917203475,1.772180567740108e-14
59,1451.5397487902603,3.4406657265802927e-12
60,1445.3254114647846,4.540137837210159e-12
61,797.0406223906799,2.479423173929591e-09
62,1165.5507206711554,1.0967727310815398e-09
63,1261.2392610556649,4.863254317152696e-07
64,1683.334698952957,9.2669359415235e-15
65,1070.0015931359676,1.8164535423643865e-06
66,1092.4522548440475,3.723731044124353e-10
67,1155.228622355059,4.7255968776009694e-17
68,1145.0223138062993,6.555331836199665e-15
69,1218.977390725503,2.5625888474588924e-07
70,1356.315919322956,1.0423723785270032e-19
71,1371.142687919175,2.334148145175833e-09
72,1836.9278207594712,7.264418770828094e-10
73,1346.7758966139809,1.4774795850244666e-19
74,1565.196456703748,1.1047462405106005e-17
75,1003.114044817923,3.853210203642779e-07
76,1168.6599449673922,3.286269007334207e-11
77,1262.0306577950814,2.1970064380367664e-11
78,1292.5446656814665,8.654152507264807e-07
79,1151.8511224329184,4.865531394377389e-07
80,589.546618771841,0.0001939123349492339
81,1699.0953045811793,4.925034338436056e-11
82,386.3764466288203,0.004916479838670174
83,395.45134366945507,0.000685559426206932
84,394.1802636953666,6.073840159057656e-06
85,398.78419590105597,2.5499892749401447e-06
86,389.20398256163696,5.387720436258956e-05
87,409.18717605992697,0.0032818139277625033
88,435.5453862303732,4.4035405598178276e-16
89,418.83018133285157,1.5852224105026158e-13
90,406.3563898051448,0.00043132499511572357
91,411.06051713984175,0.0002447681567712184
92,438.5173161510385,0.0026716792118116244
93,423.0488253256689,0.0012305762877022819
94,444.4919080979053,4.158165336779624e-11
95,438.2605700204039,8.693078080180881e-12
96,421.1550802810246,7.101417438912978e-09
97,475.16455744857205,4.210885863280893e-07
98,437.15776843321737,1.1188403032890675e-06
99,437.57733641687776,1.1065249807898159e-08
100,441.7618346177403,0.00023490129283293938
101,433.56424691191125,6.201744683376262e-06
102,472.0819870692966,2.1380842030446536e-12
103,488.20750327455926,2.0624567443972166e-05
104,509.02311566996843,0.00036652864181288493
105,461.92753059246195,0.0026615386376996827
106,453.7593556181715,0.0022895794758845964
107,488.36583048037687,2.8970490080543627e-15
108,466.38560176698354,0.00013024390402992147
109,473.99028423814207,0.0002856193916032296
110,517.5012522087632,0.0012123203817215376
111,517.6050228786472,0.00042781534106955965
112,471.21405672360663,8.225352276442962e-09
113,464.6796378830683,5.65913571661887e-10
114,474.4872538941903,4.253656624938402e-07
115,481.47486281647184,4.989064186928822e-06
116,457.1779552401828,7.00068438690098e-09
117,515.9671423461359,6.517991523910761e-05
118,466.75633094374257,7.291962628741414e-05
119,460.25067847992113,1.8947764057553029e-13
120,512.6971881423026,8.462841417009831e-08
121,469.4631428853929,3.3443080754341426e-12
122,468.6800284291098,0.002143925269737371
123,511.5728703380497,0.00011498739514743954
124,513.6041520117078,0.001105760629534564
125,564.1566761188814,0.0005514896579255022
126,501.46659747145566,6.548037320124052e-05
127,528.077296459244,7.561546608671411e-07
128,492.30009603812465,0.0006462540644812939
129,496.58032494045096,1.3496053516584467e-05
130,488.0526110020125,0.00010119982819765833
131,521.5808184642717,1.1007124639996439e-05
132,559.8392988498979,9.250309510367674e-05
133,543.4969058807984,3.060928634341954e-18
134,564.4932708771352,5.396505842251192e-05
135,523.572786463055,1.4022299251528824e-06
136,508.5410990931048,0.0005878943963628595
137,550.0920374906617,4.4223275492610116e-05
138,621.6398523483239,7.188284344268107e-14
139,577.006701464645,6.224246214427621e-06
140,548.0093746459142,0.00017875775650904075
141,558.632715829965,3.602973051893879e-05
142,601.236011719576,2.8031681887169193e-08
143,565.8403188200011,0.0002477887120376321
144,603.4738402206535,7.039575737932936e-07
145,606.625129006761,0.00013484077977551985
146,537.2658160158666,1.6239159310164248e-05
147,542.6994047100432,0.0001943819408374337
148,553.0608615531107,2.9124594168200014e-06
149,591.112404404366,1.8125350434418507e-06
150,543.6986694910324,7.185030998905473e-08
151,581.8402688546397,1.1505150728998707e-18
152,609.889529056219,0.00018397422034693395
153,628.1128437896996,3.18344933048323e-13
154,656.9193360556935,1.7807888941220613e-09
155,583.7939970979451,5.062850350804702e-05
156,612.4070697047646,8.652046369140461e-07
157,589.7039263260771,5.061189474011176e-06
158,581.2307920333649,2.5011388225253314e-07
159,619.578220807778,1.3062095135029984e-07
160,624.8208756716458,1.1332572287548892e-06
161,674.030353668758,5.62937545071398e-06
162,641.8252622588841,0.0002279632671177825
163,693.708870840229,9.79003423027476e-06
164,689.273341809977,2.1052773091288978e-05
165,669.1927715013665,1.0329186749691385e-06
166,714.1219272251819,0.00020186779720108937
167,701.9095917860745,1.3552922294231392e-06
168,700.7815982488944,0.00025349682887720095
169,668.1891794807566,0.00014627181366841144
170,658.798886764439,4.0562919604794365e-10
171,661.1372099604843,7.856541330259494e-08
172,780.3716730215411,1.0269210671126423e-26
173,707.8927412282895,1.534549651479908e-05
174,701.9331334381066,1.0801957181425493e-07
175,698.9134446849375,0.0001331806844385178
176,761.6076548311844,3.2265347900184896e-06
177,768.4483942236432,4.35727207366641e-06
178,828.1436309059428,3.177419827155725e-07
179,847.463943897538,2.5583196677304066e-08
180,878.324089149674,2.3161035824440017e-05
181,1013.4789306720218,4.210148867578115e-06
182,1287.2534765538765,3.655058683417709e-07
183,1341.3723221062849,2.3149893666845165e-08
184,1338.689911761293,6.923843964501607e-19
185,618.2083163388448,1.0436943088431123e-11
186,612.4972722046755,0.0004427640956034721
187,667.8958223134443,1.135869866497027e-06
188,673.0649677998347,1.0498183971112019e-09
189,760.2118759751045,0.0001841684642501414
190,686.6867000199683,2.3481348778678485e-21
191,690.1123613201908,9.377967522513462e-05
192,732.449721685326,1.4841958842703526e-05
193,753.5099376497112,6.312487849795539e-07
194,739.6918168818092,2.546372300188041e-08
195,769.1921131840966,1.5533096179088741e-25
196,799.7316873232902,5.290082863021071e-07
197,791.6082088743243,1.0030022953691576e-06
198,833.0981863175999,5.30209651171236e-06
199,867.1416006478087,1.1147703432224428e-07
200,993.6864604820499,4.6506488241306236e-08
201,909.3270144164233,2.563065008247087e-06
202,912.1649995076136,2.0757531947888805e-05
203,945.0552399631181,6.85002660655064e-06
204,969.0978214452377,1.0319999511932694e-06
205,1041.1041456224896,1.2537922003058878e-09
206,1423.0812275523951,1.7113224046205638e-10
207,786.2604561816726,5.231054643451691e-06
208,800.5473178096602,1.0984658959874097e-11
209,783.0923146923965,1.063147162167738e-09
210,804.9679371223174,6.757681140954543e-07
211,827.6376258702396,8.211525988573504e-08
212,807.5083136821081,3.6663442092033837e-05
213,800.9295784341836,1.0105348216849353e-06
214,819.6714440404096,6.67654851803882e-07
215,816.640168575196,1.263511254176187e-05
216,822.2786199890143,8.104720158761647e-09
217,818.4240826502271,2.2275180351992345e-13
218,826.8467038464245,1.5212196707503275e-06
219,847.5707533451991,5.933896787084596e-05
220,960.3536625181332,3.600468258603466e-08
221,930.8160723464526,6.185442903471469e-11
222,928.7621460286434,3.235304669870702e-11
223,963.4152341087994,5.148482142624128e-06
224,1150.7632635167245,2.3202184027356298e-06
225,1140.5345354938615,1.1379960158164476e-16
226,1311.5069329506832,1.8519728779407884e-11
227,1578.9130793630825,2.0482568341664106e-09
228,825.0765678682777,1.3607862059944711e-05
229,858.5895169676061,1.3257028546298866e-07
230,891.5901320852465,2.846645904552301e-05
231,882.2130727947913,3.1284568293794856e-05
232,887.6107960755761,1.5348995704098542e-09
233,1021.8740372097734,2.6910658559534627e-07
234,1032.8500394306313,3.4214513148231947e-32
235,1318.0421227495647,1.0124576147605213e-06
236,721.6079098015941,1.9036549316460456e-07
237,826.8824317222502,2.2715374772484986e-12
238,1071.5584562110355,6.963531117273463e-09
239,575.2614858731856,0.0009445239928855014
240,561.3703970243911,7.495132020766275e-05
241,567.37586661422,1.0024961839751876e-14
242,586.3461468418091,0.0005049470585464558
243,607.8728742275323,7.529135782978224e-05
244,624.1224254981149,4.3191792756014905e-21
245,605.7933460602048,0.0004884613659364502
246,745.9576151339262,8.718549482062347e-08
247,642.8812398570228,1.2571936179534768e-05
248,646.8424438578719,0.00027812538234320576
249,696.3979760336238,2.3430814982499036e-05
250,810.4865284882976,1.1379233007439903e-05
251,823.7480497923003,3.5010347121889817e-08
252,924.8966197403913,3.033595620520725e-07
253,1033.1963880222115,7.265839388897561e-06
254,1070.7981723941157,1.8423586717317268e-06
255,1150.885872949405,2.5703652731158387e-12
256,1291.0096406926277,1.1808448960854773e-13
257,1254.893713424141,1.2928956867594918e-06
258,1253.9705424790059,3.4770908114128086e-08
259,1284.7554620006304,8.95275102266492e-10
260,336.3218421619805,0.00025269139817536457
261,329.15567295269676,2.7279696778046333e-05
262,339.2292106175386,0.002735492830636123
263,335.1394028977607,1.8630837889335753e-10
264,374.15120864593865,0.002090382904959504
265,416.5959827484287,2.8449347153520056e-06
266,393.0863759305204,8.004778300482405e-05
267,416.1142168855301,1.983220798843738e-06
268,374.1643753368449,0.0007898528168100157
269,445.2951229218665,0.0032886068324275543
270,562.3582532494727,2.804025595976266e-05
271,485.0207844237681,3.1566938671252325e-10
272,456.5169482661081,9.590583082395627e-07
273,522.0402279286585,2.2902936573616752e-05
274,507.4807153306481,5.039902281297464e-12
275,563.7674327552077,2.883186932242586e-10
276,612.9428701436425,0.00017515501628710038
277,575.0291881263256,8.841188013443571e-12
278,577.6767912813159,0.0009083354828567609
279,583.33415485813,1.4537375572104066e-05
280,680.2655004465743,0.00023753486441606576
281,697.6774369586514,0.00011442232367538592
282,675.742739590687,0.00014138382868128486
283,671.1883917966132,3.1617651388286875e-08
284,670.1650500447531,2.4665238741874555e-05
285,673.5784338135303,9.914563049128574e-06
286,662.0926405914364,2.4549130516945358e-08
287,687.1744578534782,6.312442193106017e-05
288,778.4428536584682,2.424758406525088e-09
289,756.3208113343642,1.4511326846822248e-12
290,765.31663164203,6.782206251759118e-05
291,741.1867279580188,3.065180970655001e-06
292,761.8838318799676,2.863649323791628e-21
293,804.1797926295598,1.4666010820063092e-05
294,789.7346452448152,2.377906617433809e-05
295,861.7315243131684,1.162588159723822e-06
296,917.120198560599,1.2385244655298488e-09
297,965.937736848005,1.7243530613991874e-17
298,1021.0438623457534,8.343581802845079e-33
299,975.2923861261108,6.387420488481458e-07
300,975.7789500956272,3.0049035160815163e-10
301,1048.7676926749652,2.259061479546709e-09
302,1060.0359404077963,1.5056044500057734e-18
303,1127.6535776474009,5.745480332304309e-08
304,1107.2914646432182,4.599378966729465e-06
305,1130.3128730381472,3.965687738456527e-12
306,1110.4510996831198,7.336890304551766e-06
307,1175.45055775638,5.139295123690839e-08
308,1166.7364034916884,1.8075931493903866e-08
309,1276.1466584023497,1.2778767289483826e-09
310,1242.8007473859066,1.8571039453103916e-06
311,522.6748357480269,1.461081390247713e-07
312,579.6984056510904,0.0008576963735698352
313,610.1115284621271,6.455804929349447e-06
314,573.8159943337835,1.0306024018772294e-09
315,612.4991871365406,2.1563978123438322e-07
316,620.0698344114894,7.862774302344779e-18
317,609.1484550324705,0.00027942161966392414
318,665.353277038031,1.110260790164968e-05
319,646.9840156269966,2.808183186958886e-06
320,650.7364497467563,6.12548371123582e-13
321,694.1749695122746,1.7091734535085142e-10
322,891.9410373294422,1.9315231191719083e-05
323,1017.5663045975577,1.2754104895500913e-08
324,1225.7498500177037,9.943051552476e-16
325,1246.2435921886195,7.662823387792314e-08
326,1199.4268388226956,8.414938935113246e-13
327,2095.8666247357114,5.874365381001617e-11
328,1477.9606025505823,3.594169194979288e-08
329,1897.2469395275466,2.787811322445272e-09
330,1669.439938962226,3.900330199258342e-08
331,1383.8552320599138,1.4495630840025107e-09
332,1985.1637833527348,4.289233577309268e-21
333,2018.0136440051667,7.315589650953029e-26
334,2380.112803081903,1.4541373387605511e-12
335,1426.22107202259,3.3824014766800845e-08
336,1596.20826153371,4.892109990332226e-15
337,2011.2735222552958,1.0298181665948077e-15
338,2042.5742029216367,4.159068636369748e-16
339,2088.073437791194,3.4230781515477683e-10
340,2235.1698594459067,1.560553886954498e-29
341,2202.090242625427,1.0239663393516806e-28
342,1648.1571743509833,8.862232051385265e-24
343,1766.5289189441,3.4338445713160096e-10
344,1691.984950159474,1.622237599726649e-11
345,1548.1142110256737,8.747578354230157e-10
346,1798.068812958052,1.059061793565015e-11
347,876.6535210455543,3.0396635953394053e-06
348,1036.8964597962536,8.958404073179714e-10
349,723.9784827835942,2.8243744114661717e-05
350,771.8478972462193,3.95441506296275e-09
351,832.3657632528664,1.7813278302104717e-06
352,606.5725289421946,4.42774305194242e-06
353,1379.6809820042777,1.763490931615952e-07
354,1393.164424776162,1.400592572362666e-07
355,1475.2000560857073,7.914942682964173e-14
356,1579.6404189406994,6.10975589259103e-08
357,1054.7197733977316,4.810087712923139e-08
358,1273.985694279684,1.239039304219876e-10
359,871.4214219444858,1.5309153334654329e-07
360,880.4521404787039,1.0557080868879957e-06
361,888.6986321491048,2.0234015331248037e-05
362,1684.32819445083,2.5759021543945963e-14
363,1062.1897321244037,5.771214753591785e-13
364,1181.393651756713,1.901407045993573e-30
365,1273.0883533671742,8.494484715729238e-28
366,892.2133612287769,2.0486143364790215e-21
367,866.0275391715325,3.220432545094788e-09
368,874.8484677329867,4.673727098023087e-12
369,898.6475069660488,5.204635733598531e-07
370,912.7636897430085,5.063515751207525e-06
371,898.3419675519636,1.2941801303136889e-11
372,910.2306063446118,2.785009786427709e-08
373,991.0855058131858,3.868192587083081e-06
374,957.1494592980652,7.463693137205703e-06
375,952.5401278452041,3.2271235635571713e-07
376,1468.5964113316008,2.3584228136853256e-07
377,1751.7817823067523,4.9138475600128906e-29
378,1111.2055180472453,1.1656831741791084e-12
379,1088.8911040762089,4.112524545064802e-08
380,1088.3288821061615,4.9418243378323025e-08
381,1132.5548443679731,4.5743579382549555e-06
